,dist,date,party,name,votes,stab,stcd,justice,tea,trump,LW_new,RW_either,RW_both,Extreme_ new,casesSum,deathsSum,casesMax,deathsMax,totVotes,voteSh,extreme,partyClean,caseSh,clust,log_cases,log_death
21,H_2,2020-03-03,DEM,Phyllis Harvey-Hall,27399,AL,102,0,0,0,0,0,0,0,0,0,0,0,46297,0.5918094045,0,DEM,0,AL2020-03-03,0,0
19,H_7,2020-03-03,DEM,Rick Collins,8119,AL,107,0,0,0,0,0,0,0,0,0,0,0,52103,0.1558259601,0,DEM,0,AL2020-03-03,0,0
24,H_4,2020-03-03,DEM,Rick Neighbors,0,AL,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DEM,NA,AL2020-03-03,0,0
14,H_4,2020-03-03,GOP,Robert Aderholt,0,AL,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GOP,NA,AL2020-03-03,0,0
10,H_2,2020-03-03,GOP,Terri Hasdorff,5207,AL,102,0,0,0,0,0,0,0,0,0,0,0,104426,0.04986306092,0,GOP,0,AL2020-03-03,0,0
25,H_5,2020-03-03,DEM,Terri Sewell,0,AL,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DEM,NA,AL2020-03-03,0,0
9,H_2,2020-03-03,GOP,Thomas Brown,1395,AL,102,0,0,0,0,0,0,0,0,0,0,0,104426,0.01335874208,0,GOP,0,AL2020-03-03,0,0
6,H_2,2020-03-03,GOP,Troy King,15145,AL,102,0,0,0,0,0,0,0,0,0,0,0,104426,0.145030931,0,GOP,0,AL2020-03-03,0,0
1,H_1,2020-03-03,GOP,Wes Lambert,3084,AL,101,0,0,0,0,0,0,0,0,0,0,0,99094,0.031121965,0,GOP,0,AL2020-03-03,0,0
72,H_4,2020-03-03,GOP,Bruce Westerman,0,AR,504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GOP,NA,AR2020-03-03,0,0
67,H_3,2020-03-03,DEM,Celeste Williams,0,AR,503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DEM,NA,AR2020-03-03,0,0
66,H_1,2020-03-03,DEM,Joyce Elliott,0,AR,501,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DEM,NA,AR2020-03-03,0,0
69,H_1,2020-03-03,GOP,Rick Crawford,0,AR,501,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GOP,NA,AR2020-03-03,0,0
71,H_3,2020-03-03,GOP,Steve Womack,0,AR,503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GOP,NA,AR2020-03-03,0,0
68,H_4,2020-03-03,DEM,William Hanson,0,AR,504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DEM,NA,AR2020-03-03,0,0
50,H_3,2020-08-04,DEM,Raul Grijalva,0,AZ,403,1,0,0,1,0,0,1,160744,3080,121789,2153,0,1,1,DEM,Inf,AZ2020-08-04,11.98757454,8.033009499
61,H_8,2020-08-04,GOP,Debbie Lesko,0,AZ,408,0,0,1,0,1,0,1,121789,2153,121789,2153,0,1,0,GOP,Inf,AZ2020-08-04,11.71005353,7.675081858
38,H_4,2020-08-04,GOP,Paul Gosar,69801,AZ,404,0,0,1,0,1,0,1,147593,2827,121789,2153,110914,0.6293254233,0,GOP,1.330697658,AZ2020-08-04,11.90222054,7.947325027
40,H_5,2020-08-04,GOP,Andy Biggs,0,AZ,405,0,0,0,0,0,0,0,121789,2153,121789,2153,0,1,0,GOP,Inf,AZ2020-08-04,11.71005353,7.675081858
44,H_6,2020-08-04,DEM,Anita Malik,28466,AZ,406,0,0,0,0,0,0,0,121789,2153,121789,2153,78058,0.3646775475,0,DEM,1.560237259,AZ2020-08-04,11.71005353,7.675081858
48,H_2,2020-08-04,DEM,Ann Kirkpatrick,67642,AZ,402,0,0,0,0,0,0,0,18363,515,16809,465,87760,0.7707611668,0,DEM,0.2092411121,AZ2020-08-04,9.818147505,6.246106765
39,H_4,2020-08-04,GOP,Anne Ward,41113,AZ,404,0,0,0,0,0,0,0,147593,2827,121789,2153,110914,0.3706745767,0,GOP,1.330697658,AZ2020-08-04,11.90222054,7.947325027
59,H_8,2020-08-04,DEM,Bob Musselwhite,9424,AZ,408,0,0,0,0,0,0,0,121789,2153,121789,2153,64720,0.1456118665,0,DEM,1.881783066,AZ2020-08-04,11.71005353,7.675081858
36,H_2,2020-08-04,GOP,Brandon Martin,27878,AZ,402,0,0,0,0,0,0,0,18363,515,16809,465,64372,0.4330764929,0,GOP,0.2852637793,AZ2020-08-04,9.818147505,6.246106765
37,H_3,2020-08-04,GOP,Daniel Wood,0,AZ,403,0,0,0,0,0,0,0,160744,3080,121789,2153,0,1,0,GOP,Inf,AZ2020-08-04,11.98757454,8.033009499
64,H_9,2020-08-04,GOP,Dave Giles,26724,AZ,409,0,0,0,0,0,0,0,121789,2153,121789,2153,49713,0.5375656267,0,GOP,2.449842094,AZ2020-08-04,11.71005353,7.675081858
41,H_6,2020-08-04,GOP,David Schweikert,0,AZ,406,0,0,0,0,0,0,0,121789,2153,121789,2153,0,1,0,GOP,Inf,AZ2020-08-04,11.71005353,7.675081858
51,H_4,2020-08-04,DEM,Delina DiSanto,29736,AZ,404,0,0,0,0,0,0,0,147593,2827,121789,2153,40116,0.7412503739,0,DEM,3.679155449,AZ2020-08-04,11.90222054,7.947325027
46,H_1,2020-08-04,DEM,Eva Putzova,27086,AZ,401,0,0,0,0,0,0,0,164665,3470,121789,2153,65898,0.4110291663,0,DEM,2.498786003,AZ2020-08-04,12.01167446,8.152198016
62,H_9,2020-08-04,DEM,Greg Stanton,0,AZ,409,0,0,0,0,0,0,0,121789,2153,121789,2153,0,1,0,DEM,Inf,AZ2020-08-04,11.71005353,7.675081858
42,H_6,2020-08-04,DEM,Hiral Tipirneni,41589,AZ,406,0,0,0,0,0,0,0,121789,2153,121789,2153,78058,0.532796126,0,DEM,1.560237259,AZ2020-08-04,11.71005353,7.675081858
54,H_5,2020-08-04,DEM,Javier Ramos,25673,AZ,405,0,0,0,0,0,0,0,121789,2153,121789,2153,65504,0.3919302638,0,DEM,1.859260503,AZ2020-08-04,11.71005353,7.675081858
55,H_5,2020-08-04,DEM,Joan Greene,32877,AZ,405,0,0,0,0,0,0,0,121789,2153,121789,2153,65504,0.5019082804,0,DEM,1.859260503,AZ2020-08-04,11.71005353,7.675081858
53,H_5,2020-08-04,DEM,Jon Ireland,6954,AZ,405,0,0,0,0,0,0,0,121789,2153,121789,2153,65504,0.1061614558,0,DEM,1.859260503,AZ2020-08-04,11.71005353,7.675081858
34,H_2,2020-08-04,GOP,Joseph Morgan,15197,AZ,402,0,0,0,0,0,0,0,18363,515,16809,465,64372,0.2360809047,0,GOP,0.2852637793,AZ2020-08-04,9.818147505,6.246106765
57,H_7,2020-08-04,GOP,Joshua Barnett,0,AZ,407,0,0,0,0,0,0,0,121789,2153,121789,2153,0,1,0,GOP,Inf,AZ2020-08-04,11.71005353,7.675081858
43,H_6,2020-08-04,DEM,Karl Gentles,3530,AZ,406,0,0,0,0,0,0,0,121789,2153,121789,2153,78058,0.04522278306,0,DEM,1.560237259,AZ2020-08-04,11.71005353,7.675081858
58,H_8,2020-08-04,DEM,Michael Muscato,35093,AZ,408,0,0,0,0,0,0,0,121789,2153,121789,2153,64720,0.5422280593,0,DEM,1.881783066,AZ2020-08-04,11.71005353,7.675081858
63,H_9,2020-08-04,GOP,Nicholas Tutora,11186,AZ,409,0,0,0,0,0,0,0,121789,2153,121789,2153,49713,0.2250115664,0,GOP,2.449842094,AZ2020-08-04,11.71005353,7.675081858
33,H_1,2020-08-04,GOP,Nolan Reidhead,28343,AZ,401,0,0,0,0,0,0,0,164665,3470,121789,2153,62141,0.4561078837,0,GOP,2.6498608,AZ2020-08-04,12.01167446,8.152198016
